     X      Y Temperature
 0.015  2.100 317.313
 0.015  2.115 317.313
 0.015  2.130 317.313
 0.015  2.145 317.313
 0.015  2.160 317.313
 0.015  2.175 317.313
 0.015  2.190 317.313
 0.015  2.205 317.313
 0.015  2.220 317.313
 0.015  2.235 317.313
 0.015  2.250 317.313
 0.015  2.265 317.313
 0.015  2.280 317.313
 0.015  2.295 317.313
 0.015  2.310 317.313
 0.015  2.325 317.313
 0.015  2.340 317.313
 0.015  2.355 317.313
 0.015  2.370 317.313
 0.015  2.385 317.313
 0.015  2.400 317.313
 0.015  2.415 317.313
 0.015  2.430 317.313
 0.015  2.445 317.313
 0.015  2.460 317.313
 0.015  2.475 317.313
 0.015  2.490 317.313
 0.015  2.505 317.313
 0.015  2.520 317.313
 0.015  2.535 317.313
 0.015  2.550 317.313
 0.015  2.565 317.313
 0.015  2.580 317.313
 0.015  2.595 317.313
 0.015  2.610 317.313
 0.015  2.625 317.313
 0.015  2.640 317.313
 0.015  2.655 317.313
 0.015  2.670 317.313
 0.015  2.685 317.313
 0.015  2.700 317.313
 0.015  2.715 317.313
 0.015  2.730 317.313
 0.015  2.745 317.313
 0.015  2.760 317.313
 0.015  2.775 317.313
 0.015  2.790 317.313
 0.015  2.805 317.313
 0.015  2.820 317.313
 0.015  2.835 317.313
 0.015  2.850 317.313
 0.015  2.865 317.313
 0.015  2.880 317.313
 0.015  2.895 317.313
 0.015  2.910 317.313
 0.015  2.925 317.313
 0.015  2.940 317.313
 0.015  2.955 317.313
 0.015  2.970 317.313
 0.015  2.985 317.313
 0.015  3.000 317.313
 0.030  0.000 317.292
 0.030  0.015 317.292
 0.030  0.030 317.292
 0.030  0.045 317.292
 0.030  0.060 317.292
 0.030  0.075 317.292
 0.030  0.090 317.292
 0.030  0.105 317.292
 0.030  0.120 317.292
 0.030  0.135 317.292
 0.030  0.150 317.292
 0.030  0.165 317.292
 0.030  0.180 317.292
 0.030  0.195 317.292
 0.030  0.210 317.292
 0.030  0.225 317.292
 0.030  0.240 317.292
 0.030  0.255 317.292
 0.030  0.270 317.292
 0.030  0.285 317.292
 0.030  0.300 317.292
 0.030  0.315 317.292
 0.030  0.330 317.292
 0.030  0.345 317.292
 0.030  0.360 317.292
 0.030  0.375 317.292
 0.030  0.390 317.292
 0.030  0.405 317.292
 0.030  0.420 317.292
 0.030  0.435 317.292
 0.030  0.450 317.292
 0.030  0.465 317.292
 0.030  0.480 317.292
 0.030  0.495 317.292
 0.030  0.510 317.292
 0.030  0.525 317.292
 0.030  0.540 317.292
 0.030  0.555 317.292
 0.030  0.570 317.292
 0.030  0.585 317.292
 0.030  0.600 317.292
 0.030  0.615 317.292
 0.030  0.630 317.292
 0.030  0.645 317.292
 0.030  0.660 317.292
 0.030  0.675 317.292
 0.030  0.690 317.292
 0.030  0.705 317.292
 0.030  0.720 317.292
 0.030  0.735 317.292
 0.030  0.750 317.292
 0.030  0.765 317.292
 0.030  0.780 317.292
 0.030  0.795 317.292
 0.030  0.810 317.292
 0.030  0.825 317.292
 0.030  0.840 317.292
 0.030  0.855 317.292
 0.030  0.870 317.292
 0.030  0.885 317.292
 0.030  0.900 317.292
 0.030  0.915 317.292
 0.030  0.930 317.292
 0.030  0.945 317.292
 0.030  0.960 317.292
 0.030  0.975 317.292
 0.030  0.990 317.292
 0.030  1.005 317.292
 0.030  1.020 317.292
 0.030  1.035 317.292
 0.030  1.050 317.292
 0.030  1.065 317.292
 0.030  1.080 317.292
 0.030  1.095 317.292
 0.030  1.110 317.292
 0.030  1.125 317.292
 0.030  1.140 317.292
 0.030  1.155 317.292
 0.030  1.170 317.292
 0.030  1.185 317.292
 0.030  1.200 317.292
 0.030  1.215 317.292
 0.030  1.230 317.292
 0.030  1.245 317.292
 0.030  1.260 317.292
 0.030  1.275 317.292
 0.030  1.290 317.292
 0.030  1.305 317.292
 0.030  1.320 317.292
 0.030  1.335 317.292
 0.030  1.350 317.292
 0.030  1.365 317.292
 0.030  1.380 317.292
 0.030  1.395 317.292
 0.030  1.410 317.292
 0.030  1.425 317.292
 0.030  1.440 317.292
 0.030  1.455 317.292
 0.030  1.470 317.292
 0.030  1.485 317.292
 0.030  1.500 317.292
 0.030  1.515 317.292
 0.030  1.530 317.292
 0.030  1.545 317.292
 0.030  1.560 317.292
 0.030  1.575 317.292
 0.030  1.590 317.292
 0.030  1.605 317.292
 0.030  1.620 317.292
 0.030  1.635 317.292
 0.030  1.650 317.292
 0.030  1.665 317.292
 0.030  1.680 317.292
 0.030  1.695 317.292
 0.030  1.710 317.292
 0.030  1.725 317.292
